designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 4421478100328622208",4421478100328622208,229.63052770703257,2.0380334540588,0.29314889699672514,4.42743107444345,-9.816170063385552,0.95009524,17.144228,0.89964485,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5618.448,4.6688,-3.8768,1539.3738,0.2505,0.209,0.1156
"Gaia DR3 4421478100328622464",4421478100328622464,229.63200493808196,2.036175178764536,0.09316846193776387,3.8662073522236002,-10.112738632398443,1.1891224,15.024123,0.29068375,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,9407.072,3.5021,0.0857,11280.233,0.583,0.5499,0.2941
"Gaia DR3 4421478100328622976",4421478100328622976,229.633265267478,2.033652767519006,-0.13988469803270331,3.4208572159588,-10.59427414878475,1.6923705,17.551582,0.8126507,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478104619752576",4421478104619752576,229.63370584928896,2.0324163322599804,0.7890128665385605,4.215359628351649,-10.20827702045668,0.98772097,19.401777,0.8705044,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619753856",4421478104619753856,229.6359292059245,2.0336280270895295,,,,,20.254301,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619753984",4421478104619753984,229.6351392562634,2.0336080931318823,1.4435202599244703,4.986380546274753,-13.383748232177354,1.7454267,19.538012,0.21395302,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619754624",4421478104619754624,229.6343634736961,2.033299031416085,0.12128565878860663,3.72617899901465,-9.750068703183258,1.1088343,18.469967,0.6328888,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,6096.257,4.7079,-4.0573,4051.9236,0.0036,0.0031,0.0017
"Gaia DR3 4421478104619755904",4421478104619755904,229.6327235634286,2.032750172097568,-0.03891381991039776,4.165088125051537,-10.263222376038364,1.0209091,18.786566,0.7121639,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619757184",4421478104619757184,229.63278521102697,2.034273196818813,-0.10836065794814409,4.056682150292971,-8.936466355303557,1.553954,18.306206,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619757312",4421478104619757312,229.6327111695867,2.0337998774637,-0.17475744596791892,4.222213474195419,-9.975693646784062,1.0155522,18.006432,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619757568",4421478104619757568,229.6332905141562,2.0333776831222052,0.3020421237196984,3.0110882241635863,-9.058300274433279,1.1162541,18.47344,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619763200",4421478104619763200,229.63092412648848,2.0333531885427103,,,,,19.883236,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619763328",4421478104619763328,229.63033859073565,2.0327323094801644,0.20140373278235937,3.483919204872222,-10.042311150275305,1.2690963,17.765594,0.8491802,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478104619763456",4421478104619763456,229.63069540299156,2.0325396763725903,0.8071719071285257,1.8312491072532124,-7.99849152603686,1.3680321,19.606255,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619764864",4421478104619764864,229.63187258580712,2.03301050113156,,,,,20.174667,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619765120",4421478104619765120,229.63173886566423,2.0334201870620845,1.2311533671848203,5.735678956875668,-9.682390718041663,1.2144494,18.820807,0.44763565,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619765376",4421478104619765376,229.62945638027963,2.032069143414995,0.40601626519688894,4.268172012671828,-10.19906563337359,1.026081,18.873968,0.7716961,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619766528",4421478104619766528,229.62881784720923,2.0323007785155105,,,,,19.821777,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619767040",4421478104619767040,229.62863617895843,2.032132866266506,1.4366543164946357,4.922037988736818,-11.03322760744068,1.1516141,19.234531,0.79453087,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619768960",4421478104619768960,229.63167559150094,2.0343778491627225,0.11069314028446572,3.505176297716624,-9.979832193096087,1.0941535,18.56703,0.7382717,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,5961.602,4.7054,-3.7543,3882.7651,0.0075,0.0064,0.0036
"Gaia DR3 4421478929253654016",4421478929253654016,229.60501486513127,2.058385750289303,,,,,18.180613,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619773184",4421478104619773184,229.6322574967681,2.035380261134054,,,,,20.4941,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619773440",4421478104619773440,229.63158117820413,2.035690964612782,-0.12710119926149333,4.014697313394771,-9.758958497082691,1.0337889,18.922918,0.4317894,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619773568",4421478104619773568,229.63190356094955,2.035428427979315,-0.29828765353724684,4.301410121696609,-10.120913334297018,1.0605345,19.097965,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619773952",4421478104619773952,229.62951820121273,2.0341419401670855,0.11579769265944964,4.446031152092996,-9.709714273510878,0.96216595,19.525599,0.8080311,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619774336",4421478104619774336,229.63004788219078,2.0345724910292633,,,,,20.210892,1.1024475,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619776512",4421478104619776512,229.63097282616988,2.0355656697771813,1.2352567313933407,4.648054127240371,-10.614909623625376,0.9647196,19.254725,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619776640",4421478104619776640,229.63046217528708,2.03525213073917,-0.20571289673176701,5.280565423342443,-11.271475852740458,0.9924365,18.936222,0.55682373,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619777536",4421478104619777536,229.62867703606256,2.034258155435089,1.7720556163742567,0.2534139056793461,-10.986608868236473,2.1552474,18.255648,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619778816",4421478104619778816,229.6320024954177,2.0369606454887497,-0.2254985241779468,4.425153404569423,-10.385768839172815,2.2296164,17.726374,0.6692734,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478104619779328",4421478104619779328,229.63041280722837,2.035788448330356,1.1835282635832023,4.0689262556125,-13.261933702052652,1.4815639,19.34104,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619779456",4421478104619779456,229.62922833385062,2.0349599928407622,,,,,20.102852,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619779584",4421478104619779584,229.62940985212057,2.0351553875666224,,,,,20.166185,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619779840",4421478104619779840,229.62731583549152,2.033973505685639,0.38487008653466925,4.556314902169236,-8.019708507610519,1.7875292,18.5104,0.734766,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478173339943040",4421478173339943040,229.61291624872717,2.0415770477706605,,,,,19.509945,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619782656",4421478104619782656,229.6249804238046,2.0335920822094016,-0.030944506836134103,4.091801206565961,-9.797923709352196,0.9677321,19.324682,0.54073524,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619782784",4421478104619782784,229.6247034059384,2.0329908952631706,-0.36881281218923156,1.454073243516162,-8.14647624495991,0.98379564,19.63757,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619783808",4421478104619783808,229.62898393692285,2.036441203958297,0.028130114940764922,4.061905932999003,-9.526501267372002,0.98223215,19.011929,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619784064",4421478104619784064,229.62947716475864,2.036376276712044,-0.2109872108012821,4.228119136464994,-12.21150314506897,1.6356285,18.773525,0.6541462,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619784320",4421478104619784320,229.62595358675514,2.0342283157377192,0.1638072245818114,4.20294994958137,-9.55732311425282,0.96882224,18.20545,0.7907257,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478104619784448",4421478104619784448,229.63018411503842,2.0370052517312764,,,,,19.77048,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619784576",4421478104619784576,229.63059434429485,2.0371655954119148,-1.4354193939597804,5.014854197048802,-10.991613177409622,1.2255663,19.423754,0.21397209,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619785088",4421478104619785088,229.62711384652337,2.0350647427928323,0.1203904462064835,3.8727003921440497,-10.014254099152511,1.103128,19.10169,0.7660713,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619785344",4421478104619785344,229.62436676888206,2.033910459190037,-0.4814834143667275,4.321047863446353,-9.996849027624046,1.0301005,18.528217,0.671999,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619785472",4421478104619785472,229.624487615471,2.0334651032952364,0.20409351541998577,4.4053514315368325,-11.205196391848744,0.9608383,19.689453,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619787904",4421478104619787904,229.63001195632776,2.0386315509220343,-6.808105582284288,9.251367694561,-2.177183786473312,1.9233446,19.243685,0.7298584,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478929253659136",4421478929253659136,229.600630350399,2.055931926322455,,,,,19.908543,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478929253659264",4421478929253659264,229.60018705164256,2.0556186127936633,,,,,20.12967,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619791232",4421478104619791232,229.6271672517288,2.0370271860143427,,,,,19.622576,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619791360",4421478104619791360,229.62748677925075,2.0368391733738744,-1.2444896265600218,-1.734463442137695,-11.734170573143189,1.9226023,19.055876,0.591156,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619791488",4421478104619791488,229.6273516660515,2.0370877339760343,,,,,19.189611,0.7328701,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619792128",4421478104619792128,229.62605652531005,2.0368320752322067,-0.6901209776085259,1.3558382880405684,-9.085317840115213,1.8352486,18.16945,0.74328995,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478104619792256",4421478104619792256,229.6263059599754,2.0366544080536513,,,,,19.199257,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619792896",4421478104619792896,229.62746208940962,2.0375808897826237,1.081511935108837,4.8674465346455635,-10.276505676839795,1.0386904,19.87462,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619793408",4421478104619793408,229.62810410583558,2.0380673344977898,5.086427068154528,2.0540502292459095,-8.347673021757771,2.2570171,18.951649,1.071188,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619795584",4421478104619795584,229.62208511787262,2.0345979631655715,,,,,17.705793,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619797376",4421478104619797376,229.62873626404047,2.039005987202411,0.0272708955858885,3.85170039903524,-9.82659027181314,1.0696892,19.172314,1.6705837,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619797632",4421478104619797632,229.62550502750423,2.0370963131764475,0.9069376180146401,4.505910459778395,-11.024658843513079,1.0690436,18.501284,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619798912",4421478104619798912,229.62712690619074,2.0383358321838676,,,,,19.361473,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619799040",4421478104619799040,229.62700356850445,2.038281639875431,,,,,19.61369,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619802112",4421478104619802112,229.62702081373666,2.0389347888240335,,,,,19.303038,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619802240",4421478104619802240,229.62714363531066,2.0390568335010903,-1.4156353207445957,1.1892933796993983,-8.004231148171266,2.0722108,18.999023,0.49510765,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619802752",4421478104619802752,229.62432695814297,2.0373061013397256,-0.21515911853199665,2.636502923344004,-7.857667749814873,1.41308,18.546185,0.76738167,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619803648",4421478104619803648,229.6252345799191,2.0381054066756663,0.35196802859728255,3.612089634659812,-9.788405850810523,1.0608459,19.02428,0.6456108,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619803904",4421478104619803904,229.62744002980284,2.0395040316425685,0.6088078117054774,5.219308107985314,-9.54965157242061,1.1524402,18.837646,0.30657387,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619804288",4421478104619804288,229.62029222385704,2.0351028815096037,,,,,19.317535,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619804416",4421478104619804416,229.62014140377528,2.0354035100590506,2.2632278596069306,4.447488500555959,-10.596564714354487,1.4216597,19.174828,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619804544",4421478104619804544,229.62068784566486,2.0353423814079488,0.32280618610936856,5.109266084124986,-9.969496832275631,1.0895374,18.990923,0.9318924,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619806464",4421478104619806464,229.62102225608226,2.0359946141645135,0.5001842164776006,5.185081523502038,-10.352341593844573,1.2398623,18.221176,0.87413406,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478104619809024",4421478104619809024,229.62282926846083,2.037448886629082,,,,,19.17275,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619811968",4421478104619811968,229.62324196918956,2.038063810905676,0.3254774101605916,4.56467354425059,-9.906234378076482,1.0370226,18.242123,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619813760",4421478104619813760,229.61882713261252,2.0355000867367496,0.1902776414702596,3.663159691671658,-9.42537844852797,0.996831,18.122465,0.66742706,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478104619814400",4421478104619814400,229.62146064242344,2.0373588702225383,0.3253069244705031,2.9163295915169205,-9.183225562284674,0.9206588,18.551056,0.79351807,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619814784",4421478104619814784,229.62679207132538,2.0409899632703694,,,,,18.80295,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619814912",4421478104619814912,229.6270535346655,2.0409672590170795,0.13973581187145825,3.885344637053302,-9.678330662449401,1.1883589,16.984285,0.90174866,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478104619816320",4421478104619816320,229.62552731782804,2.0414996463722295,,,,,19.41329,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619816576",4421478104619816576,229.62579204571549,2.040786050971563,,,,,19.361464,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619816704",4421478104619816704,229.6255308504981,2.04048875326107,0.2750517745560756,4.201753011534395,-10.123667837177361,0.9706302,18.316584,0.7513981,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,5968.135,4.6824,-4.103,3444.9927,0.006,0.0051,0.0028
"Gaia DR3 4421478104619816960",4421478104619816960,229.61728399808842,2.0357095856710297,,,,,19.45721,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619817984",4421478104619817984,229.61853704862125,2.036349536252859,0.46771624676700985,3.475630150937289,-9.971119229100466,1.0681063,18.911276,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619818880",4421478104619818880,229.62157604551297,2.0384078772104193,0.298735251513221,4.03602269525436,-9.842260993276046,1.0067959,18.279028,0.68798256,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,5973.294,4.6509,-0.8506,4077.1265,0.002,0.0017,9.0E-4
"Gaia DR3 4421478104619819520",4421478104619819520,229.62328253345746,2.0397634446509967,0.4984689366217662,4.285059086959525,-11.585820005205179,0.9780521,18.841175,0.5672474,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619820160",4421478104619820160,229.61890515530916,2.0372212319184837,-1.1534031686392516,4.97755952039969,-8.392459457933084,1.3700925,18.669853,0.7278652,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,5809.2153,4.6863,-3.6,3782.1626,0.0031,0.0026,0.0014
"Gaia DR3 4421478104619823360",4421478104619823360,229.62439385246591,2.040691471580127,-0.6734789683855193,4.033975804553627,-7.69823726569794,0.9806093,19.029934,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619823488",4421478104619823488,229.62383757223725,2.041445660346969,-0.08817330333201638,3.654385614735078,-9.839790081087804,0.98448575,18.455362,0.69698524,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,5943.0444,4.6891,-1.3824,3898.714,0.003,0.0025,0.0014
"Gaia DR3 4421478104619823616",4421478104619823616,229.6240054921343,2.0410575116657648,-0.3215581200734867,2.9326235009522845,-8.043211638016173,1.2727139,19.203102,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619823744",4421478104619823744,229.62446257934099,2.041117243568479,1.0865224599982692,3.431789425215044,-10.504845654456298,1.0206977,18.602304,0.7121277,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619824128",4421478104619824128,229.62010725563945,2.0375519082559914,1.0642219040146983,5.14060177434134,-9.068606283496669,0.9494627,19.330786,0.87444305,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619824256",4421478104619824256,229.62032486821167,2.0370594157017163,,,,,19.956919,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619824384",4421478104619824384,229.62000284190123,2.0371578227567544,,,,,20.140244,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619824640",4421478104619824640,229.6195723402693,2.037698125604584,,,,,19.623245,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104619824896",4421478104619824896,229.62265399860297,2.0400619610269337,0.36272859929307344,4.3197844978601445,-10.817879135367916,0.989859,19.0527,1.0358467,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478104620264704",4421478104620264704,229.62988356416443,2.03666090093105,,,,,19.890371,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
